{'dataset_name': 'NCI1', 'seed': 777, 'num_workers': 1, 'cov_weight': -1.0, 'hyperparams': {'batch_size': 64, 'epochs': 901, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.75}, 'architecture': {'layers': 4, 'hidden': 64, 'pooling': 'add', 'JK': 'last', 'nonlinear_conv': 'e4', 'dropout': 0.5, 'variants': {'BN': 'Y'}}, 'commit_id': 'bb95b1a8813c59d83babe87ddbda5038f12700fc', 'time_stamp': '1610281408', 'directory': '../../nlg_results/tu/board/'}
-------- FOLD0 DATASET=NCI1, COMMIT_ID=bb95b1a8813c59d83babe87ddbda5038f12700fc
Epoch: 111, Train Loss: -5.3333013, Train Acc: 0.9151122, Test Acc: 0.8102190, Train Cov: 5.5392528
Epoch: 112, Train Loss: -5.3386534, Train Acc: 0.9316031, Test Acc: 0.8199513, Train Cov: 5.5392280
Epoch: 113, Train Loss: -5.3466058, Train Acc: 0.9291700, Test Acc: 0.8102190, Train Cov: 5.5394187
Epoch: 114, Train Loss: -5.3339326, Train Acc: 0.9302514, Test Acc: 0.7931873, Train Cov: 5.5394282
Epoch: 115, Train Loss: -5.3379364, Train Acc: 0.9375507, Test Acc: 0.8053528, Train Cov: 5.5392051
Epoch: 116, Train Loss: -5.3460936, Train Acc: 0.9353879, Test Acc: 0.8175182, Train Cov: 5.5394177
Epoch: 117, Train Loss: -5.3339394, Train Acc: 0.9353879, Test Acc: 0.8150852, Train Cov: 5.5397019
Epoch: 118, Train Loss: -5.3618423, Train Acc: 0.9451203, Test Acc: 0.8150852, Train Cov: 5.5393105
Epoch: 119, Train Loss: -5.3518805, Train Acc: 0.9015950, Test Acc: 0.7956204, Train Cov: 5.5393929
Epoch: 120, Train Loss: -5.3433778, Train Acc: 0.9332252, Test Acc: 0.8150852, Train Cov: 5.5395355
Epoch: 121, Train Loss: -5.3636743, Train Acc: 0.9356583, Test Acc: 0.7883212, Train Cov: 5.5395737
Epoch: 122, Train Loss: -5.3539381, Train Acc: 0.9445796, Test Acc: 0.7980535, Train Cov: 5.5390344
Epoch: 123, Train Loss: -5.3520873, Train Acc: 0.9180860, Test Acc: 0.8102190, Train Cov: 5.5390387
Epoch: 124, Train Loss: -5.3582303, Train Acc: 0.9367397, Test Acc: 0.8077859, Train Cov: 5.5393200
